Date,Open,High,Low,Close,Volume
2018-10-15 03-AM,6360.5,6380,6360.5,6380,10.61
2018-10-15 02-AM,6375.53,6380,6360.5,6360.5,25.27
2018-10-15 01-AM,6349.59,6376.92,6349.59,6375.53,8.01
2018-10-15 12-AM,6342.37,6355.98,6304.48,6349.59,18.47
2018-10-14 11-PM,6363.68,6367.63,6311.99,6342.37,96.79
2018-10-14 10-PM,6361.09,6376,6356.56,6363.68,12.29
2018-10-14 09-PM,6363.6,6368,6351.99,6361.09,12.41
2018-10-14 08-PM,6401,6406.26,6352.38,6363.6,36.56
2018-10-14 07-PM,6392.28,6403.72,6389.94,6401,7.35
2018-10-14 06-PM,6389.22,6405.7,6387.4,6392.28,28.91
2018-10-14 05-PM,6400.91,6400.91,6387.4,6389.22,9.06
2018-10-14 04-PM,6380,6410.71,6380,6400.91,13.25
2018-10-14 03-PM,6367.35,6380,6365,6380,1.14
2018-10-14 02-PM,6363.08,6375.21,6362.03,6367.35,14.33
2018-10-14 01-PM,6373.1,6377.74,6363.03,6363.08,2.02
2018-10-14 12-PM,6356.35,6390.65,6356.35,6373.1,26.42
2018-10-14 11-AM,6344.03,6367.2,6344.03,6356.35,4.21
2018-10-14 10-AM,6357.96,6364.18,6343.98,6344.03,29.42
2018-10-14 09-AM,6381.96,6381.96,6354,6357.96,16.41
2018-10-14 08-AM,6392.23,6392.23,6375,6381.96,2.91
2018-10-14 07-AM,6378.19,6395.64,6378.19,6392.23,6.07
2018-10-14 06-AM,6377.82,6390.62,6377.1,6378.19,3.04
2018-10-14 05-AM,6391.52,6401.98,6377.82,6377.82,5.72
2018-10-14 04-AM,6362.52,6420,6361.11,6391.52,37.5
2018-10-14 03-AM,6341.59,6365.11,6341.59,6362.52,33.42
2018-10-14 02-AM,6337,6343.5,6331.77,6341.59,18.77
2018-10-14 01-AM,6324.01,6337,6324.01,6337,3.71
2018-10-14 12-AM,6329.23,6335.22,6321.02,6324.01,6.62
2018-10-13 11-PM,6330,6330,6325.87,6329.23,1.95
2018-10-13 10-PM,6320.33,6331.57,6319.65,6330,1.76
2018-10-13 09-PM,6317.72,6326.24,6317.22,6320.33,5.84
2018-10-13 08-PM,6325,6332,6315.37,6317.72,3.98
2018-10-13 07-PM,6314.46,6332,6304,6325,26.86
2018-10-13 06-PM,6328.54,6335.22,6314.46,6314.46,21.52
2018-10-13 05-PM,6331.18,6331.18,6323.74,6328.54,3.45
2018-10-13 04-PM,6330,6336.44,6327.37,6331.18,22.43
2018-10-13 03-PM,6327.59,6336.44,6326.3,6330,4.36
2018-10-13 02-PM,6313.45,6327.61,6310,6327.59,3.18
2018-10-13 01-PM,6315.02,6328.86,6313.45,6313.45,1.81
2018-10-13 12-PM,6324.8,6324.8,6307.19,6315.02,5.1
2018-10-13 11-AM,6324.74,6336.44,6324.65,6324.8,10.6
2018-10-13 10-AM,6325.3,6328.76,6322.54,6324.74,19.62
2018-10-13 09-AM,6316.73,6330,6316.73,6325.3,17.17
2018-10-13 08-AM,6318.94,6320,6312.45,6316.73,2.97
2018-10-13 07-AM,6318.55,6322.27,6312.65,6318.94,2.26
2018-10-13 06-AM,6318.8,6322.76,6310.78,6318.55,3.71
2018-10-13 05-AM,6311.79,6325.71,6311.11,6318.8,5.29
2018-10-13 04-AM,6297.3,6313.59,6294,6311.79,13.21
2018-10-13 03-AM,6315.5,6315.84,6285.92,6297.3,39.49
2018-10-13 02-AM,6316.12,6320,6315.5,6315.5,4.95
2018-10-13 01-AM,6308.82,6323.44,6308.82,6316.12,1.3
2018-10-13 12-AM,6304.11,6326.15,6286.33,6308.82,3.45
2018-10-12 11-PM,6314.27,6317.73,6299.16,6304.11,8.59
2018-10-12 10-PM,6324,6324,6294,6314.27,37.54
2018-10-12 09-PM,6328.6,6330,6319.91,6324,17.34
2018-10-12 08-PM,6319.13,6329.44,6315.89,6328.6,5.17
2018-10-12 07-PM,6309.47,6325,6309.47,6319.13,3.24
